age,height_cm,weight_kg,preferred_foot,pace,shooting,passing,dribbling,defending,physic,power_stamina,power_strength,value_eur,overall,potential
32,167,68,Right,90.0,79.0,84.0,88.0,39.0,55.0,73,44,34500000,86,86
33,194,85,Right,57.0,61.0,71.0,67.0,86.0,80.0,69,87,21000000,86,86
34,173,67,Left,64.0,74.0,88.0,88.0,52.0,55.0,70,46,22500000,86,86
31,191,94,Right,58.0,58.0,77.0,72.0,89.0,77.0,65,86,33000000,86,86
30,182,80,Right,65.0,74.0,84.0,79.0,81.0,82.0,91,78,36500000,86,86
31,170,68,Left,88.0,69.0,81.0,83.0,78.0,72.0,88,61,32000000,86,86
30,186,75,Right,68.0,82.0,82.0,78.0,56.0,71.0,86,66,42000000,86,86
28,173,73,Right,80.0,54.0,78.0,80.0,82.0,80.0,89,74,38000000,86,86
33,179,74,Right,88.0,85.0,66.0,78.0,55.0,75.0,79,68,28000000,86,86
21,188,83,Left,84.0,81.0,79.0,85.0,45.0,67.0,82,69,57000000,85,93
20,189,89,Right,72.0,59.0,66.0,69.0,85.0,84.0,76,88,49500000,85,92
22,186,70,Right,91.0,83.0,78.0,86.0,45.0,78.0,87,76,53000000,85,91
24,183,75,Left,93.0,81.0,79.0,86.0,38.0,67.0,70,69,51500000,85,90
23,180,74,Right,80.0,64.0,84.0,87.0,76.0,77.0,90,74,50500000,85,90
26,183,75,Right,72.0,41.0,73.0,70.0,87.0,78.0,80,75,44000000,85,89
25,186,81,Left,74.0,45.0,67.0,65.0,87.0,81.0,75,83,44500000,85,89
25,191,76,Right,69.0,79.0,80.0,83.0,79.0,85.0,85,88,49000000,85,89
25,188,80,Right,69.0,41.0,59.0,66.0,87.0,81.0,73,84,44500000,85,89
26,176,78,Right,86.0,83.0,81.0,84.0,32.0,80.0,81,81,48500000,85,88
24,180,76,Right,91.0,85.0,69.0,84.0,35.0,71.0,83,67,49500000,85,88
24,191,82,Right,65.0,68.0,77.0,77.0,82.0,79.0,84,79,44000000,85,88
24,175,75,Right,82.0,83.0,78.0,86.0,43.0,70.0,78,69,47500000,85,87
26,175,70,Right,83.0,66.0,79.0,82.0,81.0,76.0,88,69,40500000,85,87
27,191,94,Left,81.0,83.0,76.0,75.0,38.0,84.0,73,95,45000000,85,86
27,183,74,Right,74.0,76.0,86.0,85.0,58.0,59.0,75,64,44000000,85,86
27,181,75,Right,73.0,85.0,65.0,78.0,36.0,68.0,66,72,45000000,85,86
27,181,65,Left,80.0,76.0,87.0,84.0,50.0,66.0,80,59,44000000,85,86
35,183,79,Right,59.0,54.0,72.0,71.0,86.0,78.0,71,82,11500000,85,85
33,169,61,Right,86.0,82.0,80.0,89.0,35.0,51.0,70,37,24000000,85,85
30,178,72,Right,67.0,68.0,87.0,85.0,75.0,67.0,81,59,35500000,85,85
29,175,69,Right,76.0,75.0,81.0,86.0,78.0,79.0,93,74,37000000,85,85
34,187,78,Right,57.0,48.0,64.0,61.0,87.0,79.0,62,85,14500000,85,85
31,186,81,Right,63.0,55.0,72.0,67.0,87.0,79.0,78,79,28500000,85,85
33,190,85,Right,60.0,58.0,69.0,70.0,87.0,77.0,66,79,18000000,85,85
31,180,71,Right,80.0,86.0,84.0,85.0,45.0,63.0,67,66,34000000,85,85
30,183,70,Right,92.0,63.0,76.0,77.0,80.0,82.0,89,79,30500000,85,85
29,174,70,Right,64.0,72.0,85.0,90.0,70.0,62.0,73,59,37000000,85,85
31,182,74,Right,50.0,83.0,90.0,81.0,71.0,69.0,78,70,33000000,85,85
28,181,76,Right,72.0,81.0,88.0,81.0,53.0,63.0,92,56,39000000,85,85
29,180,80,Left,81.0,65.0,77.0,80.0,81.0,81.0,90,77,31500000,85,85
28,176,77,Right,67.0,75.0,85.0,81.0,76.0,80.0,94,75,38000000,85,85
29,163,59,Right,88.0,78.0,83.0,91.0,36.0,44.0,70,34,37500000,85,85
29,179,67,Left,83.0,79.0,81.0,90.0,38.0,59.0,76,55,37500000,85,85
19,194,88,Left,84.0,87.0,63.0,76.0,43.0,85.0,78,91,45000000,84,92
22,174,81,Right,83.0,82.0,71.0,85.0,48.0,82.0,77,83,44500000,84,91
23,181,79,Left,81.0,82.0,80.0,84.0,41.0,63.0,82,57,42500000,84,90
24,195,97,Right,69.0,42.0,59.0,49.0,85.0,81.0,63,93,37500000,84,89
23,171,73,Right,66.0,73.0,82.0,87.0,75.0,71.0,76,68,41000000,84,89
25,189,76,Right,78.0,78.0,80.0,82.0,77.0,85.0,83,88,39500000,84,88
24,171,69,Left,85.0,65.0,79.0,84.0,77.0,71.0,90,63,35500000,84,88
24,184,76,Right,89.0,83.0,74.0,87.0,41.0,72.0,77,76,41000000,84,88
24,185,83,Right,81.0,78.0,82.0,87.0,51.0,66.0,80,71,40500000,84,88
24,179,75,Right,93.0,76.0,77.0,87.0,29.0,59.0,66,64,40500000,84,88
25,185,80,Right,67.0,45.0,53.0,54.0,86.0,83.0,64,90,36000000,84,88
23,183,74,Right,71.0,62.0,68.0,74.0,87.0,84.0,92,78,36500000,84,88
25,184,76,Left,68.0,79.0,79.0,81.0,78.0,79.0,87,77,38500000,84,87
28,189,78,Right,68.0,41.0,62.0,68.0,86.0,75.0,64,78,30500000,84,85
26,178,74,Left,78.0,69.0,80.0,79.0,80.0,76.0,85,69,31500000,84,85
26,170,71,Left,74.0,78.0,84.0,87.0,73.0,57.0,77,49,36500000,84,85
27,185,77,Right,71.0,74.0,81.0,81.0,82.0,85.0,92,82,35000000,84,85
27,181,71,Left,85.0,74.0,83.0,81.0,79.0,76.0,91,68,31000000,84,85
27,181,68,Right,63.0,74.0,80.0,81.0,79.0,78.0,94,69,32000000,84,85
35,179,67,Right,64.0,72.0,78.0,78.0,85.0,79.0,78,76,9500000,84,84
34,172,60,Right,87.0,69.0,79.0,83.0,80.0,58.0,81,39,11000000,84,84
33,179,78,Right,60.0,66.0,76.0,78.0,83.0,71.0,80,61,15000000,84,84
31,186,81,Right,63.0,73.0,81.0,79.0,82.0,82.0,83,84,23500000,84,84
30,178,77,Right,67.0,55.0,77.0,72.0,84.0,76.0,81,70,24500000,84,84
29,172,70,Left,93.0,73.0,79.0,91.0,43.0,59.0,68,56,30500000,84,84
32,176,67,Left,82.0,85.0,78.0,86.0,35.0,63.0,69,60,25000000,84,84
27,173,62,Right,84.0,68.0,78.0,88.0,77.0,60.0,89,39,32500000,84,84
30,174,66,Right,69.0,61.0,71.0,78.0,85.0,79.0,91,69,25500000,84,84
28,180,78,Left,77.0,70.0,81.0,79.0,83.0,76.0,75,76,27500000,84,84
28,176,79,Right,68.0,75.0,82.0,90.0,59.0,59.0,61,59,31500000,84,84
30,177,72,Right,75.0,78.0,83.0,83.0,65.0,68.0,85,59,29500000,84,84
29,170,68,Right,84.0,83.0,77.0,87.0,39.0,63.0,68,63,31000000,84,84
32,190,79,Left,70.0,86.0,84.0,85.0,43.0,68.0,69,74,25000000,84,84
29,188,81,Right,78.0,82.0,76.0,82.0,49.0,83.0,86,84,31000000,84,84
31,190,83,Right,62.0,41.0,58.0,61.0,86.0,86.0,76,89,23000000,84,84
27,172,65,Left,82.0,56.0,73.0,76.0,82.0,79.0,85,73,27500000,84,84
21,182,78,Right,86.0,74.0,78.0,79.0,77.0,80.0,86,79,36000000,83,90
21,178,68,Left,78.0,75.0,84.0,85.0,58.0,63.0,80,55,36000000,83,89
23,178,67,Left,92.0,77.0,77.0,87.0,36.0,56.0,68,51,35500000,83,89
25,172,66,Left,84.0,61.0,78.0,80.0,79.0,70.0,84,63,30500000,83,88
23,188,77,Right,82.0,30.0,66.0,69.0,83.0,80.0,74,83,31000000,83,88
22,178,78,Right,87.0,79.0,78.0,85.0,39.0,72.0,79,78,34500000,83,88
25,180,73,Left,92.0,64.0,76.0,79.0,78.0,82.0,88,79,30500000,83,88
22,183,72,Right,86.0,51.0,68.0,80.0,82.0,74.0,79,71,30500000,83,88
21,181,73,Right,94.0,70.0,76.0,82.0,72.0,76.0,86,73,35000000,83,88
25,188,78,Left,70.0,40.0,56.0,69.0,85.0,78.0,71,79,30000000,83,87
24,188,80,Right,72.0,80.0,79.0,83.0,71.0,79.0,89,73,34000000,83,87
23,184,74,Right,70.0,80.0,78.0,78.0,72.0,80.0,92,76,33000000,83,87
23,190,80,Right,83.0,64.0,75.0,77.0,81.0,85.0,80,87,30500000,83,87
23,175,73,Right,85.0,82.0,72.0,87.0,42.0,71.0,79,65,34500000,83,87
26,182,75,Left,66.0,62.0,69.0,69.0,83.0,79.0,65,85,28500000,83,86
26,176,80,Right,75.0,69.0,83.0,88.0,69.0,70.0,79,63,31500000,83,86
26,182,74,Right,86.0,65.0,79.0,83.0,77.0,70.0,89,60,28000000,83,86
26,177,67,Right,92.0,57.0,69.0,82.0,77.0,76.0,92,66,28000000,83,86
26,178,76,Right,80.0,83.0,80.0,80.0,65.0,78.0,84,76,31000000,83,85
27,185,86,Right,77.0,47.0,63.0,67.0,82.0,83.0,74,86,27000000,83,85
29,189,83,Right,82.0,25.0,42.0,60.0,85.0,79.0,69,81,24500000,83,84
28,194,90,Right,60.0,46.0,68.0,68.0,85.0,78.0,69,80,25500000,83,84
27,170,67,Left,81.0,64.0,79.0,83.0,76.0,67.0,79,57,25500000,83,84
26,173,75,Left,79.0,82.0,81.0,87.0,38.0,79.0,79,81,30500000,83,84
38,195,95,Right,52.0,88.0,77.0,79.0,34.0,77.0,54,87,9500000,83,83
33,170,61,Right,56.0,75.0,86.0,83.0,72.0,66.0,77,58,15000000,83,83
32,186,89,Right,65.0,85.0,71.0,80.0,31.0,69.0,57,82,20500000,83,83
32,186,86,Right,71.0,79.0,82.0,81.0,72.0,77.0,85,79,19500000,83,83
31,177,77,Left,80.0,82.0,78.0,84.0,31.0,67.0,74,67,22500000,83,83
33,180,75,Left,75.0,66.0,75.0,77.0,82.0,79.0,85,73,12500000,83,83
33,189,86,Left,58.0,62.0,72.0,71.0,85.0,78.0,72,79,12000000,83,83
30,185,82,Left,88.0,84.0,82.0,80.0,58.0,73.0,69,77,24500000,83,83
32,174,75,Left,79.0,73.0,80.0,88.0,76.0,76.0,74,76,16000000,83,83
32,176,65,Right,71.0,80.0,80.0,83.0,83.0,81.0,89,75,20000000,83,83
32,174,71,Right,63.0,74.0,84.0,82.0,76.0,70.0,69,67,19500000,83,83
34,193,80,Right,59.0,84.0,71.0,75.0,46.0,73.0,70,81,13500000,83,83
33,180,75,Right,65.0,79.0,79.0,78.0,83.0,86.0,86,83,15000000,83,83
30,181,80,Left,83.0,68.0,76.0,76.0,80.0,83.0,86,80,20500000,83,83
32,183,76,Right,66.0,62.0,74.0,73.0,82.0,82.0,82,81,17000000,83,83
29,173,71,Right,73.0,60.0,81.0,77.0,79.0,72.0,88,64,21500000,83,83
29,180,80,Right,66.0,74.0,84.0,84.0,72.0,71.0,69,73,25000000,83,83
31,183,80,Right,72.0,82.0,77.0,82.0,80.0,85.0,92,82,22000000,83,83
28,179,66,Right,78.0,79.0,83.0,83.0,58.0,65.0,84,58,26000000,83,83
28,172,68,Right,72.0,79.0,82.0,89.0,52.0,59.0,74,51,26000000,83,83
27,170,66,Right,81.0,75.0,80.0,87.0,51.0,60.0,74,49,27000000,83,83
29,176,77,Right,76.0,82.0,75.0,84.0,46.0,75.0,77,75,26000000,83,83
27,180,66,Right,90.0,75.0,72.0,87.0,34.0,75.0,75,77,27000000,83,83
31,171,70,Right,60.0,72.0,82.0,81.0,78.0,73.0,85,64,19500000,83,83
31,181,76,Left,66.0,80.0,84.0,84.0,41.0,73.0,86,75,23500000,83,83
28,178,68,Right,77.0,63.0,81.0,78.0,77.0,73.0,92,69,22000000,83,83
32,192,88,Left,62.0,50.0,62.0,63.0,86.0,83.0,83,86,16500000,83,83
29,175,74,Right,73.0,71.0,77.0,82.0,85.0,83.0,92,78,25000000,83,83
27,174,70,Right,92.0,78.0,72.0,87.0,43.0,67.0,75,58,27000000,83,83
27,175,71,Right,84.0,77.0,81.0,86.0,52.0,67.0,80,65,27000000,83,83
28,167,66,Right,90.0,79.0,81.0,82.0,59.0,79.0,89,73,26000000,83,83
28,180,68,Right,55.0,65.0,84.0,80.0,72.0,73.0,85,66,25500000,83,83
30,172,63,Right,88.0,77.0,79.0,82.0,47.0,64.0,90,58,24500000,83,83
28,180,77,Left,76.0,84.0,76.0,80.0,46.0,73.0,76,75,27000000,83,83
27,184,82,Left,88.0,76.0,79.0,83.0,68.0,80.0,91,77,27000000,83,83
29,189,88,Right,75.0,81.0,59.0,78.0,37.0,83.0,72,93,26000000,83,83
27,172,66,Right,94.0,73.0,74.0,87.0,50.0,52.0,77,40,27000000,83,83
28,172,69,Left,76.0,74.0,82.0,86.0,78.0,82.0,90,80,22000000,83,83
28,177,75,Right,88.0,77.0,83.0,84.0,35.0,72.0,88,68,26000000,83,83
23,178,68,Left,85.0,55.0,73.0,78.0,78.0,70.0,80,65,27500000,82,89
24,189,70,Left,63.0,78.0,78.0,83.0,74.0,68.0,75,67,30000000,82,88
24,182,76,Left,77.0,54.0,70.0,71.0,83.0,79.0,75,77,26500000,82,87
23,180,80,Right,61.0,75.0,84.0,77.0,71.0,73.0,78,67,29000000,82,87
24,177,68,Left,77.0,77.0,82.0,85.0,65.0,73.0,78,70,29000000,82,87
24,182,76,Left,79.0,80.0,81.0,83.0,43.0,61.0,76,61,29000000,82,86
23,180,72,Right,85.0,68.0,78.0,78.0,80.0,77.0,89,69,26000000,82,86
27,194,100,Right,50.0,53.0,69.0,71.0,82.0,85.0,76,90,24000000,82,85
26,190,80,Left,80.0,82.0,81.0,83.0,54.0,75.0,82,75,27500000,82,85
25,171,70,Right,84.0,80.0,75.0,87.0,54.0,70.0,79,64,28000000,82,85
25,183,73,Left,89.0,78.0,75.0,84.0,33.0,66.0,79,68,28000000,82,85
25,184,74,Right,84.0,74.0,79.0,81.0,78.0,82.0,86,81,27500000,82,85
26,186,86,Right,74.0,78.0,79.0,80.0,83.0,87.0,88,86,26500000,82,84
27,190,84,Right,80.0,80.0,71.0,81.0,31.0,77.0,77,80,26000000,82,83
29,185,72,Right,68.0,49.0,71.0,65.0,84.0,83.0,80,82,21000000,82,83
25,188,84,Right,82.0,83.0,78.0,83.0,63.0,84.0,91,81,26500000,82,83
26,191,86,Right,61.0,58.0,70.0,65.0,85.0,78.0,74,83,23000000,82,83
28,178,72,Right,72.0,37.0,62.0,61.0,84.0,80.0,74,80,21500000,82,83
34,187,74,Right,45.0,41.0,62.0,63.0,86.0,75.0,56,81,8000000,82,82
32,184,78,Right,61.0,79.0,85.0,78.0,75.0,69.0,75,71,17000000,82,82
31,180,71,Left,64.0,69.0,85.0,83.0,24.0,55.0,62,56,19500000,82,82
33,175,77,Right,70.0,79.0,84.0,85.0,39.0,67.0,70,71,13500000,82,82
31,185,78,Right,60.0,64.0,72.0,72.0,84.0,77.0,77,76,16000000,82,82
31,175,77,Right,82.0,79.0,80.0,85.0,49.0,59.0,77,59,19500000,82,82
31,186,80,Left,79.0,81.0,78.0,78.0,62.0,76.0,81,76,19500000,82,82
31,192,90,Right,70.0,50.0,72.0,65.0,82.0,79.0,60,88,16500000,82,82
31,192,83,Right,80.0,82.0,79.0,79.0,44.0,81.0,76,85,20000000,82,82
34,187,81,Left,68.0,74.0,81.0,76.0,82.0,77.0,79,73,8000000,82,82
29,183,76,Right,68.0,77.0,79.0,80.0,68.0,73.0,89,66,21500000,82,82
29,176,65,Left,78.0,80.0,83.0,83.0,65.0,68.0,76,68,21500000,82,82
30,180,72,Left,54.0,65.0,81.0,78.0,83.0,73.0,77,72,18000000,82,82
29,187,80,Right,82.0,61.0,74.0,79.0,79.0,79.0,87,75,18500000,82,82
29,182,77,Left,91.0,79.0,76.0,81.0,44.0,71.0,75,69,22000000,82,82
28,180,75,Left,53.0,86.0,85.0,86.0,50.0,63.0,65,64,22500000,82,82
28,188,83,Right,66.0,63.0,72.0,73.0,80.0,85.0,84,89,20000000,82,82
30,184,81,Right,90.0,76.0,74.0,85.0,34.0,72.0,74,70,21000000,82,82
27,179,70,Left,82.0,80.0,81.0,82.0,41.0,68.0,81,66,23000000,82,82
26,181,72,Right,91.0,81.0,75.0,84.0,36.0,65.0,76,59,24000000,82,82
28,174,72,Right,89.0,80.0,79.0,82.0,46.0,71.0,82,64,22500000,82,82
28,188,87,Left,66.0,66.0,73.0,72.0,81.0,80.0,83,79,19000000,82,82
29,177,73,Right,71.0,85.0,73.0,85.0,30.0,71.0,76,67,22000000,82,82
25,183,76,Left,83.0,74.0,78.0,77.0,77.0,80.0,86,76,24000000,82,82
28,185,80,Right,78.0,43.0,56.0,64.0,85.0,79.0,77,76,19500000,82,82
20,181,70,Right,81.0,81.0,74.0,83.0,40.0,69.0,75,64,32000000,81,93
19,181,72,Left,96.0,67.0,69.0,83.0,76.0,76.0,79,74,22500000,81,89
22,175,70,Right,76.0,75.0,80.0,84.0,66.0,69.0,76,67,26000000,81,89
21,172,66,Left,81.0,67.0,78.0,80.0,73.0,74.0,88,66,26500000,81,89
20,184,77,Right,82.0,76.0,78.0,80.0,34.0,64.0,73,66,26500000,81,89
23,181,71,Right,83.0,78.0,72.0,81.0,50.0,80.0,82,77,25500000,81,88
20,170,67,Left,93.0,66.0,74.0,85.0,43.0,53.0,69,44,25000000,81,88
23,179,68,Right,87.0,79.0,76.0,81.0,36.0,69.0,73,68,24500000,81,87
21,177,69,Right,89.0,70.0,72.0,85.0,37.0,59.0,77,54,24500000,81,87
23,187,82,Right,65.0,38.0,54.0,59.0,83.0,84.0,86,80,22000000,81,87
22,173,68,Left,84.0,67.0,76.0,81.0,75.0,75.0,84,69,21500000,81,87
24,174,72,Right,86.0,75.0,73.0,85.0,32.0,60.0,75,60,24000000,81,86
25,192,86,Right,65.0,69.0,73.0,73.0,80.0,83.0,92,83,21500000,81,86
23,183,74,Right,81.0,79.0,62.0,76.0,30.0,83.0,85,85,23500000,81,85
24,171,62,Left,80.0,76.0,81.0,84.0,59.0,62.0,74,54,23000000,81,85
23,176,72,Right,64.0,78.0,82.0,79.0,69.0,71.0,78,69,23000000,81,85
23,175,73,Right,75.0,76.0,84.0,82.0,54.0,58.0,75,49,23000000,81,85
25,172,64,Right,71.0,73.0,76.0,87.0,65.0,66.0,79,57,22500000,81,85
24,168,65,Right,74.0,67.0,75.0,79.0,79.0,74.0,83,67,21000000,81,85
24,189,80,Left,73.0,39.0,67.0,67.0,82.0,84.0,80,84,21000000,81,85
24,186,76,Right,69.0,53.0,73.0,71.0,81.0,76.0,79,75,20500000,81,85
23,178,77,Left,76.0,52.0,74.0,78.0,77.0,75.0,88,69,20500000,81,85
23,176,68,Left,91.0,75.0,74.0,83.0,49.0,71.0,83,64,23000000,81,85
25,185,85,Left,80.0,54.0,77.0,77.0,77.0,77.0,75,79,19500000,81,84
26,186,78,Left,68.0,85.0,64.0,76.0,39.0,73.0,67,79,22500000,81,84
26,170,70,Right,77.0,53.0,71.0,76.0,79.0,70.0,82,59,19500000,81,84
25,188,77,Right,84.0,75.0,77.0,86.0,39.0,69.0,76,74,22500000,81,84
26,186,79,Right,94.0,79.0,72.0,78.0,39.0,81.0,83,82,22500000,81,84
24,187,79,Right,74.0,45.0,56.0,65.0,82.0,81.0,73,83,20000000,81,84
27,190,85,Right,70.0,43.0,67.0,63.0,82.0,80.0,68,82,18500000,81,83
26,190,82,Right,70.0,80.0,62.0,75.0,51.0,82.0,72,89,22000000,81,83
24,181,75,Left,78.0,53.0,74.0,78.0,80.0,78.0,76,77,19000000,81,83
27,169,62,Left,79.0,71.0,79.0,83.0,75.0,70.0,87,56,19000000,81,83
26,175,72,Right,78.0,84.0,67.0,80.0,35.0,62.0,62,63,21000000,81,82
29,187,81,Right,61.0,35.0,54.0,56.0,84.0,72.0,48,79,17000000,81,82
27,170,69,Right,89.0,80.0,61.0,79.0,25.0,75.0,72,78,21000000,81,82
25,192,80,Left,72.0,74.0,78.0,79.0,77.0,79.0,77,82,21000000,81,82
26,174,67,Right,89.0,62.0,77.0,82.0,54.0,63.0,86,56,21000000,81,82
36,171,68,Right,58.0,70.0,85.0,85.0,63.0,59.0,58,62,5500000,81,81
37,188,81,Right,66.0,51.0,60.0,60.0,82.0,85.0,82,83,3600000,81,81
34,188,89,Right,67.0,83.0,74.0,74.0,43.0,83.0,71,91,9500000,81,81
30,185,80,Right,71.0,75.0,75.0,76.0,78.0,83.0,94,78,16500000,81,81
37,170,72,Right,74.0,74.0,82.0,86.0,30.0,53.0,54,56,6500000,81,81
32,183,73,Right,70.0,77.0,82.0,81.0,72.0,72.0,76,75,13500000,81,81
33,189,77,Left,65.0,46.0,60.0,59.0,84.0,76.0,71,75,8500000,81,81
31,186,81,Right,66.0,52.0,63.0,60.0,84.0,77.0,75,76,13000000,81,81
31,192,86,Right,37.0,55.0,69.0,63.0,84.0,80.0,67,83,13500000,81,81
33,189,90,Right,45.0,74.0,77.0,77.0,79.0,78.0,65,85,10500000,81,81
32,180,76,Left,66.0,81.0,81.0,82.0,45.0,70.0,73,73,14000000,81,81
32,174,76,Left,80.0,78.0,78.0,86.0,47.0,69.0,73,72,14000000,81,81
32,172,75,Right,92.0,78.0,75.0,86.0,47.0,67.0,78,67,14000000,81,81
29,172,68,Right,86.0,76.0,73.0,84.0,58.0,69.0,76,63,17500000,81,81
29,188,85,Left,65.0,75.0,78.0,77.0,77.0,79.0,91,76,14500000,81,81
32,179,72,Right,89.0,72.0,78.0,88.0,72.0,64.0,71,54,11000000,81,81
28,182,79,Left,77.0,73.0,73.0,74.0,82.0,82.0,89,77,16000000,81,81
28,169,72,Left,78.0,77.0,80.0,83.0,46.0,67.0,66,71,18000000,81,81
29,178,66,Right,69.0,67.0,80.0,85.0,63.0,62.0,86,47,17000000,81,81
29,196,92,Right,59.0,43.0,54.0,61.0,83.0,86.0,77,94,15000000,81,81
30,171,67,Right,81.0,75.0,81.0,82.0,63.0,69.0,78,67,17000000,81,81
28,174,70,Left,73.0,76.0,82.0,83.0,57.0,57.0,71,57,18000000,81,81
28,182,75,Left,80.0,80.0,83.0,82.0,36.0,64.0,77,58,18000000,81,81
27,179,85,Left,73.0,84.0,79.0,79.0,41.0,84.0,88,84,19000000,81,81
30,177,86,Left,82.0,64.0,74.0,81.0,75.0,75.0,88,75,14000000,81,81
28,182,87,Right,72.0,64.0,73.0,75.0,76.0,79.0,93,72,15000000,81,81
27,175,70,Right,89.0,75.0,78.0,86.0,55.0,60.0,68,55,18500000,81,81
28,190,82,Right,77.0,73.0,76.0,74.0,77.0,84.0,92,85,15000000,81,81
26,176,70,Left,76.0,75.0,82.0,86.0,33.0,53.0,74,55,19000000,81,81
29,173,67,Right,81.0,77.0,76.0,79.0,77.0,73.0,86,63,14500000,81,81
28,178,72,Right,81.0,53.0,70.0,76.0,77.0,78.0,93,69,15000000,81,81
32,182,71,Right,79.0,82.0,75.0,83.0,39.0,73.0,77,76,14000000,81,81
29,185,76,Right,64.0,68.0,72.0,72.0,82.0,80.0,90,74,15000000,81,81
30,182,70,Left,76.0,78.0,81.0,82.0,70.0,74.0,85,70,16500000,81,81
28,175,75,Right,83.0,65.0,77.0,79.0,75.0,88.0,93,86,15000000,81,81
26,171,67,Left,83.0,77.0,78.0,84.0,42.0,55.0,77,41,19000000,81,81
27,197,84,Right,65.0,82.0,59.0,69.0,39.0,85.0,85,86,19000000,81,81
24,181,82,Right,71.0,61.0,57.0,62.0,82.0,80.0,76,79,0,81,81
28,172,68,Left,93.0,66.0,75.0,76.0,72.0,77.0,91,73,15000000,81,81
20,175,70,Right,77.0,57.0,74.0,76.0,82.0,68.0,91,56,17500000,81,81
28,188,83,Right,78.0,84.0,62.0,72.0,33.0,71.0,52,82,18500000,81,81
20,178,69,Left,79.0,54.0,76.0,78.0,75.0,74.0,89,68,0,81,81
24,180,75,Right,82.0,73.0,77.0,82.0,52.0,70.0,75,74,19500000,81,81
28,184,79,Right,76.0,81.0,67.0,77.0,20.0,78.0,72,87,18500000,81,81
